fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2,parameters_normalize,validation_loss_normalize
16,16,36362,0.9321374048650848,1.323320014476776,0.6876,0.20779999999999998,35584,0.9334928229665072,0.12682375000076718,0.15163350000875653,0.714,7.1450733477362744,0.540036141872406,0.5849804282188416,0.0,1.0
32,16,57098,0.8934376971285026,0.36364540555477143,0.8706,0.024799999999999933,56320,0.8947368421052632,0.12682375000076718,0.15715300000010757,0.914,3.7052574770441264,0.7019044756889343,0.5849804282188416,0.059602649006622516,0.05071025406335028
32,32,69386,0.8705045369883058,0.3630142609357834,0.8752,0.020199999999999996,68608,0.8717703349282296,0.12682375000076718,0.13328200000614743,0.9222,3.263713818738555,0.7019044756889343,0.707495927810669,0.09492273730684325,0.05008593920762905
32,64,93962,0.824638216707912,0.358103497004509,0.8748,0.02059999999999995,93184,0.8258373205741627,0.12682375000076718,0.1426250000076834,0.9226,3.075890289691547,0.7019044756889343,0.8321748375892639,0.16556291390728478,0.04522831579930442
64,16,98570,0.8160382816553382,0.32769067058563234,0.8884,0.007000000000000006,97792,0.8172248803827751,0.12682375000076718,0.1395915000102832,0.955,2.0543988714220984,0.8348768949508667,0.5849804282188416,0.17880794701986757,0.015144593675176399
64,64,135434,0.7472388012347476,0.32667835712432863,0.8904,0.0050000000000000044,134656,0.7483253588516746,0.12682375000076718,0.13783949998469325,0.9678,1.1378545933297117,0.8348768949508667,0.8321748375892639,0.2847682119205298,0.014143234694168505
128,16,181514,0.6612394507090094,0.3135955415248871,0.8916,0.0038000000000000256,180736,0.6622009569377991,0.12682375000076718,0.12686199999734527,0.9648,1.7745896659977527,0.9262797832489014,0.5849804282188416,0.41721854304635764,0.0012019912965960389
128,32,193802,0.6383062905688126,0.3134002758026123,0.8954,0.0,193024,0.6392344497607656,0.12682375000076718,0.15717499998572748,0.9772,1.1242459700437748,0.9262797832489014,0.707495927810669,0.45253863134657835,0.001008838590287997
128,64,218378,0.5924399702884189,0.31308640911579133,0.8978,-0.0024000000000000687,217600,0.5933014354066986,0.12682375000076718,0.13166349999664817,0.9838,0.5917090667182104,0.9262797832489014,0.8321748375892639,0.5231788079470199,0.0006983683281592823
256,64,384266,0.2828423083957613,0.3123804009079933,0.8974,-0.0020000000000000018,383488,0.2832535885167464,0.12682375000076718,0.16538100000616396,0.9854,0.4991122694906952,0.9801843762397766,0.8321748375892639,0.9999999999999999,0.0
