fc1_rank,fc2_rank,validation_acc,validation_loss,parameters,compressed_macs,agreement
16,16,0.7822,0.6164,36362,35584,0.829
16,32,0.7818,0.6188,48650,47872,0.8302
16,64,0.7742,0.6491,73226,72448,0.8226
16,128,0.7768,0.6491,122378,121600,0.8252
16,256,0.7738,0.6527,220682,219904,0.8228
32,16,0.8694,0.3607,57098,56320,0.9482
32,32,0.8694,0.3587,69386,68608,0.9468
32,64,0.8714,0.3572,93962,93184,0.9518
32,128,0.8732,0.3537,143114,142336,0.9524
32,256,0.873,0.3548,241418,240640,0.9544
64,16,0.8864,0.3157,98570,97792,0.9764
64,32,0.8864,0.313,110858,110080,0.9816
64,64,0.8888,0.3114,135434,134656,0.9848
64,128,0.8888,0.3089,184586,183808,0.985
64,256,0.8888,0.309,282890,282112,0.9862
128,16,0.8854,0.3159,181514,180736,0.981
128,32,0.8864,0.3131,193802,193024,0.9866
128,64,0.8876,0.3118,218378,217600,0.9924
128,128,0.8876,0.3097,267530,266752,0.993
128,256,0.8868,0.31,365834,365056,0.9944
256,16,0.8866,0.3162,347402,346624,0.9806
256,32,0.8852,0.3135,359690,358912,0.9876
256,64,0.887,0.3121,384266,383488,0.9922
256,128,0.888,0.3099,433418,432640,0.9964
256,256,0.888,0.3103,531722,530944,0.998
512,16,0.8862,0.3165,679178,678400,0.9806
512,32,0.8856,0.3138,691466,690688,0.9878
512,64,0.8874,0.3124,716042,715264,0.9942
512,128,0.8876,0.3102,765194,764416,0.997
512,256,0.8884,0.3106,863498,862720,1.0
