fc1_rank,fc2_rank,epoch,train_acc,train_loss,validation_loss,validation_acc
16,16,1,0.86088,0.358281040430069,0.4112652302742004,0.8454
16,16,2,0.88804,0.30000779441833497,0.36265063705444334,0.8684
16,16,3,0.88616,0.3050599104309082,0.36881347794532776,0.8646
16,16,4,0.89914,0.26744206237792967,0.33510706882476804,0.8738
16,16,5,0.90898,0.24175720094680786,0.3201580042362213,0.8798
16,16,6,0.90748,0.24704785273075103,0.3429847625732422,0.8778
16,16,7,0.89714,0.262746511683464,0.3539692974805832,0.8686
16,16,8,0.91352,0.226571278591156,0.32539366209506987,0.8878
16,16,9,0.91352,0.22697037241458892,0.3428175570964813,0.8792
16,16,10,0.92214,0.20704114117622374,0.3277724002838135,0.8884
32,16,1,0.87946,0.3203433144855499,0.3745809959411621,0.8602
32,16,2,0.8986,0.2717204124069214,0.3416442368507385,0.8778
32,16,3,0.8844,0.3003919846725464,0.37392363929748534,0.8616
32,16,4,0.90884,0.24037407208442688,0.3183460663557053,0.8848
32,16,5,0.90998,0.23182751565456391,0.3281699617385864,0.8792
32,16,6,0.91264,0.2323418123102188,0.3335030868530273,0.8812
32,16,7,0.9207,0.20713696282863617,0.3049732960700989,0.8876
32,16,8,0.9127,0.2287427345609665,0.34768979868888855,0.8814
32,16,9,0.92174,0.20898505905151368,0.3331182830095291,0.8834
32,16,10,0.92962,0.18744788769721984,0.31040338044166566,0.8878
32,16,11,0.91804,0.20684194077968598,0.33797584419250487,0.8794
32,16,12,0.92306,0.20184941972732545,0.3387411515235901,0.886
32,32,1,0.88332,0.312988908367157,0.3656584966182709,0.8616
32,32,2,0.8987,0.2695361750125885,0.34324942407608033,0.8782
32,32,3,0.89128,0.2859881125259399,0.3607357903003693,0.8662
32,32,4,0.91356,0.2381706172847748,0.31309863495826723,0.8854
32,32,5,0.90668,0.24242431744575502,0.33858463039398196,0.8784
32,32,6,0.91468,0.2261761081314087,0.3222413681983948,0.8878
32,32,7,0.9101,0.23358923513412475,0.31908921105861665,0.8816
32,32,8,0.91288,0.22961049206733702,0.34691476974487306,0.8828
32,32,9,0.92526,0.1921317003965378,0.32465622029304503,0.8898
