epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.85862,0.3874653307819366,0.41064036350250244,0.849
2,0.8806,0.3234329024791718,0.35593883113861086,0.8712
3,0.88244,0.31839218713760375,0.3670197855710983,0.8634
4,0.8981,0.27760943546295164,0.32549850776195527,0.8808
5,0.90238,0.2609940016365051,0.3142913925170898,0.8824
6,0.91158,0.2403148098564148,0.30690381660461424,0.8918
7,0.91272,0.23037624308586122,0.29988527626991274,0.8838
8,0.91628,0.22168587727069855,0.30935856058597566,0.8898
9,0.92304,0.2075323838710785,0.30963667912483217,0.8868
10,0.92424,0.1992358327817917,0.30011188621520996,0.8902
11,0.91628,0.21316773698806762,0.32041094636917117,0.8862
12,0.92892,0.18945995346546174,0.30633170919418334,0.893
