epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.86088,0.358281040430069,0.4112652302742004,0.8454
2,0.88804,0.30000779441833497,0.36265063705444334,0.8684
3,0.88616,0.3050599104309082,0.36881347794532776,0.8646
4,0.89914,0.26744206237792967,0.33510706882476804,0.8738
5,0.90898,0.24175720094680786,0.3201580042362213,0.8798
6,0.90748,0.24704785273075103,0.3429847625732422,0.8778
7,0.89714,0.262746511683464,0.3539692974805832,0.8686
8,0.91352,0.226571278591156,0.32539366209506987,0.8878
9,0.91352,0.22697037241458892,0.3428175570964813,0.8792
10,0.92214,0.20704114117622374,0.3277724002838135,0.8884
