fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,benchmark_input_sha256,benchmark_stage
16,16,36362,0.9321374048650848,0.6163949437081814,0.7822,0.10619999999999996,35584,0.9334928229665072,0.14197944999978063,0.18626959999892279,0.829,3.9672105740393375,0.6000480651855469,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
16,32,48650,0.9092042447248879,0.6188423156023025,0.7818,0.10659999999999992,47872,0.9105263157894736,0.14197944999978063,0.1794111500003055,0.8302,3.838131245796701,0.6000480651855469,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
16,64,73226,0.8633379244444942,0.6490715345621109,0.7742,0.11419999999999997,72448,0.8645933014354067,0.14197944999978063,0.17319640000096115,0.8226,3.8199323927404034,0.6000480651855469,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
16,128,122378,0.7716052838837067,0.6491448867917061,0.7768,0.11159999999999992,121600,0.7727272727272727,0.14197944999978063,0.2066641500005062,0.8252,3.8130460375175796,0.6000480651855469,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
16,256,220682,0.588140002762132,0.6526837827980518,0.7738,0.11459999999999992,219904,0.5889952153110047,0.14197944999978063,0.19717194999975618,0.8228,3.7975827417155483,0.6000480651855469,1.0,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
32,16,57098,0.8934376971285026,0.3607345429062843,0.8694,0.019000000000000017,56320,0.8947368421052632,0.14197944999978063,0.17727840000043216,0.9482,1.68363401892278,0.7434288859367371,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
32,32,69386,0.8705045369883058,0.35866753919124605,0.8694,0.019000000000000017,68608,0.8717703349282296,0.14197944999978063,0.19385344999864174,0.9468,1.4905034964954578,0.7434288859367371,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
32,64,93962,0.824638216707912,0.3572394131779671,0.8714,0.017000000000000015,93184,0.8258373205741627,0.14197944999978063,0.1719774499997584,0.9518,1.3725298662115073,0.7434288859367371,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
32,128,143114,0.7329055761471246,0.35373764562606813,0.8732,0.015199999999999991,142336,0.7339712918660287,0.14197944999978063,0.17713800000092306,0.9524,1.3610925624519485,0.7434288859367371,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
32,256,241418,0.5494402950255497,0.35475929057598116,0.873,0.01539999999999997,240640,0.5502392344497608,0.14197944999978063,0.17263945000013337,0.9544,1.3420609587057974,0.7434288859367371,1.0,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
64,16,98570,0.8160382816553382,0.3156656683743,0.8864,0.0020000000000000018,97792,0.8172248803827751,0.14197944999978063,0.18698405000031926,0.9764,0.9329891264221533,0.8496452569961548,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
64,32,110858,0.7931051215151413,0.3129919114232063,0.8864,0.0020000000000000018,110080,0.7942583732057417,0.14197944999978063,0.1995696499998303,0.9816,0.6520552667819732,0.8496452569961548,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
64,64,135434,0.7472388012347476,0.3113567085146904,0.8888,-0.00040000000000006697,134656,0.7483253588516746,0.14197944999978063,0.19492245000037656,0.9848,0.45911004317691706,0.8496452569961548,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
64,128,184586,0.6555061606739602,0.3089214685440064,0.8888,-0.00040000000000006697,183808,0.6564593301435406,0.14197944999978063,0.21465484999862383,0.985,0.40831620022907106,0.8496452569961548,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
64,256,282890,0.4720408795523853,0.3090428382694721,0.8888,-0.00040000000000006697,282112,0.4727272727272728,0.14197944999978063,0.21889145000022836,0.9862,0.3972797964263468,0.8496452569961548,1.0,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
128,16,181514,0.6612394507090094,0.31593227535486224,0.8854,0.0030000000000000027,180736,0.6622009569377991,0.14197944999978063,0.17310120000001916,0.981,0.8354710889433608,0.9230823516845703,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
128,32,193802,0.6383062905688126,0.3131477875947952,0.8864,0.0020000000000000018,193024,0.6392344497607656,0.14197944999978063,0.17295634999936738,0.9866,0.4892099473685813,0.9230823516845703,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
128,64,218378,0.5924399702884189,0.3117918577671051,0.8876,0.0008000000000000229,217600,0.5933014354066986,0.14197944999978063,0.2082881999995152,0.9924,0.25365576532385026,0.9230823516845703,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
128,128,267530,0.5007073297276314,0.3096872934103012,0.8876,0.0008000000000000229,266752,0.5014354066985646,0.14197944999978063,0.17705615000159014,0.993,0.1698156656806271,0.9230823516845703,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
128,256,365834,0.31724204860605654,0.30999601739645005,0.8868,0.0015999999999999348,365056,0.3177033492822966,0.14197944999978063,0.1858917499994277,0.9944,0.13850829229078646,0.9230823516845703,1.0,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
256,16,347402,0.3516417888163518,0.31622100684046744,0.8866,0.0017999999999999128,346624,0.3521531100478469,0.14197944999978063,0.2078182499990362,0.9806,0.829625401956456,0.9752308130264282,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
256,32,359690,0.3287086286761549,0.31345658797025683,0.8852,0.0031999999999999806,358912,0.32918660287081336,0.14197944999978063,0.17352835000019695,0.9876,0.4708032476664808,0.9752308130264282,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
256,64,384266,0.2828423083957613,0.3121064739108086,0.887,0.0013999999999999568,383488,0.2832535885167464,0.14197944999978063,0.20504350000010163,0.9922,0.21954252196998625,0.9752308130264282,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
256,128,433418,0.19110966783497385,0.30991220992803575,0.888,0.00039999999999995595,432640,0.19138755980861244,0.14197944999978063,0.18310209999981453,0.9964,0.11186623722261295,0.9752308130264282,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,be5b182ce1504847f44de6a1be685c5cf4bf06dcacefe8c7b8ece1765bbd9917,rank_sweep_before_finetuning
