fc1_rank,epoch,train_acc,train_loss,validation_loss,validation_acc
20,1,0.94876,0.14625484362602234,0.21853546812534333,0.9194
20,2,0.94428,0.15162607810020448,0.23097414553165435,0.9148
20,3,0.94346,0.15317553184986116,0.2329749256849289,0.9144
20,4,0.95424,0.12912748153209685,0.22934429156780242,0.9194
24,1,0.94974,0.14313505264282225,0.2141280490398407,0.9206
24,2,0.9452,0.14874436053276063,0.22683373494148254,0.9168
24,3,0.9438,0.15255912642478942,0.2327060682296753,0.9138
24,4,0.955,0.12666312252044679,0.22791865062713623,0.9182
28,1,0.95162,0.1401960168170929,0.2133665005683899,0.9196
28,2,0.94628,0.14566889871120453,0.2268775993824005,0.9182
28,3,0.94556,0.14816536594867707,0.23323297066688536,0.9132
28,4,0.95564,0.12591384296894073,0.22940805017948152,0.9174
