fc1_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,benchmark_batch_size,benchmark_input_shape,benchmark_input_sha256,benchmark_warmup,benchmark_repeats,benchmark_stage
16,72458,0.8281527931278193,0.2905954972743988,0.896,0.025399999999999978,53504,0.8671328671328671,0.34623890000148094,0.3494459499997902,0.9344,1.5809881267837689,0.8012738823890686,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
20,85514,0.7971881359067645,0.23362295379638673,0.917,0.0043999999999999595,66560,0.8347107438016529,0.34623890000148094,0.33143454999844835,0.9708,1.0203627523995449,0.8395121693611145,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
24,98570,0.7662234786857096,0.2288732908964157,0.917,0.0043999999999999595,79616,0.8022886204704387,0.34623890000148094,0.3320586000008916,0.979,0.6101120352497897,0.8646880984306335,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
28,111626,0.7352588214646549,0.22510961666107177,0.9182,0.0031999999999999806,92672,0.7698664971392244,0.34623890000148094,0.3409888000005594,0.9854,0.44465231559353796,0.8832411766052246,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
32,124682,0.7042941642436,0.224240337228775,0.9196,0.0018000000000000238,105728,0.7374443738080101,0.34623890000148094,0.34318309999980556,0.987,0.35566122493376573,0.898253858089447,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
36,137738,0.6733295070225451,0.22450641181468964,0.9192,0.0021999999999999797,118784,0.705022250476796,0.34623890000148094,0.3336440000002767,0.9894,0.24669170905485707,0.9098490476608276,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
42,157322,0.626882521190963,0.22470160236358644,0.92,0.0013999999999999568,138368,0.6563890654799746,0.34623890000148094,0.3818217999996705,0.9906,0.18842365858064383,0.9235114455223083,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
44,163850,0.6114001925804355,0.22380480422973634,0.9198,0.0016000000000000458,144896,0.6401780038143674,0.34623890000148094,0.3352626500000042,0.9916,0.18015851373896222,0.9274647235870361,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
48,176906,0.5804355353593806,0.2223647817850113,0.9216,-0.00019999999999997797,157952,0.6077558804831532,0.34623890000148094,0.3442201500001829,0.9932,0.15102792019432254,0.9345462918281555,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
64,229130,0.45657690647516136,0.22067033939361572,0.922,-0.0006000000000000449,210176,0.4780673871582962,0.34623890000148094,0.33578959999977087,0.9956,0.06668628268931834,0.9555539488792419,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
80,281354,0.3327182775909421,0.22062555713653564,0.9204,0.0010000000000000009,262400,0.34837889383343934,0.34623890000148094,0.3401439500012202,0.9984,0.03184881990183796,0.9703256487846375,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
96,333578,0.2088596487067228,0.22068731689453125,0.9208,0.0006000000000000449,314624,0.21869040050858235,0.34623890000148094,0.3416731500001333,0.9994,0.016362799081189084,0.9819515943527222,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
112,385802,0.08500101982250341,0.22062915074825287,0.9214,0.0,366848,0.08900190718372536,0.34623890000148094,0.35457099999985076,0.9996,0.009110114995040108,0.991679847240448,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
128,438026,-0.03885760906171587,0.22066437723636628,0.9214,0.0,419072,-0.04068658614113163,0.34623890000148094,0.3548386999991635,1.0,0.00010158252980633261,1.0,256,"(256, 1, 28, 28)",6e92e42968e6557af944672ee00306232d2d1d0750d8e6f885a1714a4595fa23,20,2000,rank_sweep_before_finetuning
