conv2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv2,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats
16,408842,0.030357507079465496,0.25374873332977294,0.9082,0.01319999999999999,1103872,0.6944444444444444,0.36724490000051446,0.36298230000011245,0.9622,0.9032627571191217,0.7295610904693604,256,"(256, 1, 28, 28)",20,2000
20,410250,0.02701818130072431,0.2454989429950714,0.9094,0.01200000000000001,1379840,0.6180555555555556,0.36724490000051446,0.3779208500000095,0.9642,0.7408468310653757,0.7869150638580322,256,"(256, 1, 28, 28)",20,2000
24,411658,0.023678855521983122,0.23783920047283172,0.9154,0.006000000000000005,1655808,0.5416666666666667,0.36724490000051446,0.37732710000000225,0.9758,0.5539612515666639,0.831885039806366,256,"(256, 1, 28, 28)",20,2000
28,413066,0.020339529743241935,0.23560532412528992,0.9158,0.005600000000000049,1931776,0.4652777777777778,0.36724490000051446,0.3696895000002769,0.9798,0.4788521718294909,0.8664435744285583,256,"(256, 1, 28, 28)",20,2000
32,414474,0.017000203964500638,0.2307655914068222,0.9176,0.0038000000000000256,2207744,0.38888888888888884,0.36724490000051446,0.35888949999934994,0.9866,0.2877550202171219,0.8950127363204956,256,"(256, 1, 28, 28)",20,2000
36,415882,0.01366087818575945,0.2274616757631302,0.9176,0.0038000000000000256,2483712,0.3125,0.36724490000051446,0.3774185000002035,0.9876,0.21169902143725236,0.9181269407272339,256,"(256, 1, 28, 28)",20,2000
42,417994,0.008651889517647726,0.22483911802768708,0.9174,0.0040000000000000036,2897664,0.19791666666666663,0.36724490000051446,0.4259971999999834,0.9904,0.147394899197731,0.9449751973152161,256,"(256, 1, 28, 28)",20,2000
44,418698,0.006982226628277077,0.22401114532947541,0.9176,0.0038000000000000256,3035648,0.1597222222222222,0.36724490000051446,0.3938208499994289,0.9914,0.12982686441846866,0.9527997374534607,256,"(256, 1, 28, 28)",20,2000
48,420106,0.0036429008495358906,0.22232884674072265,0.9184,0.0030000000000000027,3311616,0.08333333333333337,0.36724490000051446,0.38528729999961797,0.9916,0.12015713512555978,0.9661579132080078,256,"(256, 1, 28, 28)",20,2000
64,425738,-0.009714402265428967,0.22067233984470366,0.9216,-0.00019999999999997797,4415488,-0.22222222222222232,0.36724490000051446,0.3928913999998258,0.9998,0.0006841605850659868,1.0,256,"(256, 1, 28, 28)",20,2000
