epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.84964,0.41861734903335573,0.42841205215454103,0.8436
2,0.88678,0.3171305303287506,0.3282908737182617,0.8788
3,0.8983,0.28811051612854005,0.3035589289665222,0.8878
4,0.90708,0.2593620726013184,0.2874029094696045,0.8946
5,0.9016,0.2692449679756165,0.2928419662475586,0.889
6,0.91728,0.2269690407562256,0.26574582238197325,0.9008
7,0.9138,0.2318751551103592,0.26311833124160766,0.8966
8,0.92964,0.19343926552295684,0.234303214097023,0.909
9,0.9343,0.18146726101875305,0.2301775591611862,0.9138
10,0.9355,0.1796765530014038,0.23427562718391418,0.9088
11,0.9424,0.1602019971179962,0.22611217122077942,0.9162
12,0.94724,0.1510880791950226,0.21605256562232972,0.919
13,0.94342,0.15063058769226073,0.2288104365348816,0.9158
14,0.95436,0.12684475967884062,0.21705774855613708,0.9228
15,0.9585,0.11833466705799103,0.21920900220870973,0.9234
