epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.9018232726626927,0.27164444444444447,1.6534919784545898,0.381
2,1.6248303167555067,0.38651111111111114,1.5196156452178955,0.4346
3,1.5008159875233968,0.4411555555555556,1.4208903194427491,0.4676
4,1.3772650973214045,0.4923111111111111,1.2874848400115966,0.5298
5,1.2825829607645671,0.5324,1.2508887367248536,0.5438
6,1.213427475335863,0.5599555555555555,1.1663839965820313,0.5762
7,1.1576376489639282,0.5818,1.1273363334655762,0.5952
8,1.105527720981174,0.6027333333333333,1.0881631549835205,0.6122
9,1.0587015876981947,0.6206444444444444,1.0333941650390626,0.624
10,1.0201167991108364,0.6382222222222222,1.0292934970855714,0.625
11,0.9907563294516669,0.6478,0.9520533302307129,0.6568
12,0.9582258793301053,0.6603555555555556,0.9692201225280762,0.6538
13,0.9361935368961758,0.6686,1.011523143196106,0.6486
14,0.9047359113905165,0.6793333333333333,0.8985794412612915,0.6824
15,0.8848344189961751,0.6879333333333333,0.884357207107544,0.6902
16,0.8594409035682679,0.6974666666666667,0.8334724262237548,0.7078
17,0.841715875477261,0.7035777777777777,0.8232992551803588,0.7094
18,0.8262119746949937,0.7086222222222223,0.8056904037475586,0.7176
19,0.8085910900221931,0.7157333333333333,0.7969129266738891,0.7194
20,0.783513243092431,0.7256888888888889,0.8015870838165283,0.7192
