parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,baseline_macs,compressed_macs,compute_reduction,conv1_rank,conv1_role,retained_energy_conv1,conv2_rank,conv2_role,retained_energy_conv2,conv3_rank,conv3_role,retained_energy_conv3,is_all_knee
92669,0.28075472283882585,1.5828473194122314,0.5048,0.22960000000000003,0.5655052000001888,0.5395570000000589,256,"(256, 3, 32, 32)",20,2000,0.5786,2.1401631071018863,10357248,6346240,0.38726580651539866,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,64,conservative,0.9322720170021057,False
81405,0.3681796308657115,1.7082019412994385,0.4792,0.25520000000000004,0.5655052000001888,0.5322633499999938,256,"(256, 3, 32, 32)",20,2000,0.5472,2.313134883287451,10357248,5625344,0.45686885164862323,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,48,knee,0.8807648420333862,False
92492,0.2821284984709955,1.77007489566803,0.4586,0.27580000000000005,0.5655052000001888,0.5476019500019902,256,"(256, 3, 32, 32)",20,2000,0.522,2.500462605636705,10357248,6164992,0.4047654357605418,6,knee,0.6009767651557922,32,conservative,0.8810855746269226,64,conservative,0.9322720170021057,False
89853,0.30261094984554726,1.8636752557754517,0.4434,0.29100000000000004,0.5655052000001888,0.5412670499972592,256,"(256, 3, 32, 32)",20,2000,0.5048,2.589711732117834,10357248,5625344,0.45686885164862323,9,conservative,0.7662929892539978,24,knee,0.808947741985321,64,conservative,0.9322720170021057,False
70141,0.4556045388925971,1.8907870203018189,0.4354,0.29900000000000004,0.5655052000001888,0.529722799998126,256,"(256, 3, 32, 32)",20,2000,0.4884,2.512333304482608,10357248,4904448,0.5264718967818478,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False
81228,0.36955340649788115,1.9248559387207032,0.4226,0.3118000000000001,0.5655052000001888,0.551886649998778,256,"(256, 3, 32, 32)",20,2000,0.4842,2.6693810839019876,10357248,5444096,0.4743684808937664,6,knee,0.6009767651557922,32,conservative,0.8810855746269226,48,knee,0.8807648420333862,False
78589,0.3900358578724329,1.963647967147827,0.4208,0.31360000000000005,0.5655052000001888,0.539327599999524,256,"(256, 3, 32, 32)",20,2000,0.4774,2.678599133934098,10357248,4904448,0.5264718967818478,9,conservative,0.7662929892539978,24,knee,0.808947741985321,48,knee,0.8807648420333862,False
89676,0.30398472547771693,2.022196760559082,0.3976,0.33680000000000004,0.5655052000001888,0.5442157999968913,256,"(256, 3, 32, 32)",20,2000,0.4488,2.867202649823735,10357248,5444096,0.4743684808937664,6,knee,0.6009767651557922,24,knee,0.808947741985321,64,conservative,0.9322720170021057,False
87037,0.32446717685226867,2.0494939764022826,0.3778,0.35660000000000003,0.5655052000001888,0.5358928999994532,256,"(256, 3, 32, 32)",20,2000,0.4292,2.9530207289792685,10357248,4904448,0.5264718967818478,9,conservative,0.7662929892539978,16,aggressive,0.6923009753227234,64,conservative,0.9322720170021057,False
69964,0.4569783145247668,2.074852709388733,0.3994,0.3350000000000001,0.5655052000001888,0.570936050000455,256,"(256, 3, 32, 32)",20,2000,0.4446,2.8094612194778557,10357248,4723200,0.543971526026991,6,knee,0.6009767651557922,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False
67325,0.4774607658993185,2.090031996154785,0.3834,0.35100000000000003,0.5655052000001888,0.5341727500017441,256,"(256, 3, 32, 32)",20,2000,0.4344,2.772798091786075,10357248,4183552,0.5960749419150724,9,conservative,0.7662929892539978,24,knee,0.808947741985321,32,aggressive,0.7885524034500122,False
