epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.5919198469248685,0.7886,0.3879151349067688,0.86
2,0.35832972339283337,0.8699636363636364,0.3401656962633133,0.8786
3,0.3099557522687045,0.8884363636363637,0.3073012976169586,0.887
4,0.27802087608467446,0.8992,0.28467379739284515,0.8962
5,0.257678451238979,0.9058545454545455,0.26631019513607024,0.898
6,0.23988799062208696,0.9131272727272727,0.25799888134002685,0.9074
7,0.2262768576708707,0.9180545454545455,0.24609024415016173,0.9128
8,0.21121854496002196,0.9222181818181818,0.23397636988162995,0.9156
9,0.20181746159683575,0.9258727272727273,0.22595021426677703,0.9168
10,0.18558194134452127,0.931490909090909,0.22325173783302307,0.9194
