fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2,parameters_normalize,validation_loss_normalize
16,16,36362,0.9321374048650848,0.6293812316656112,0.778,0.11739999999999995,35584,0.9334928229665072,0.13512065000031726,0.1552834999984043,0.7928,5.519894768416743,0.545870840549469,0.5955097675323486,0.0,1.0
32,16,57098,0.8934376971285026,0.38018728828430176,0.8668,0.02859999999999996,56320,0.8947368421052632,0.13512065000031726,0.20516599999609753,0.9126,3.1872035520081856,0.7066775560379028,0.5955097675323486,0.05222437137330754,0.27326459755543997
32,32,69386,0.8705045369883058,0.37671510136127473,0.8646,0.03079999999999994,68608,0.8717703349282296,0.13512065000031726,0.15557149999949615,0.9176,2.657922329952579,0.7066775560379028,0.7178936004638672,0.08317214700193423,0.2631385040933383
64,16,98570,0.8160382816553382,0.3042152539908886,0.892,0.0033999999999999586,97792,0.8172248803827751,0.13512065000031726,0.16242499999862048,0.9556,1.807795458608638,0.8378239274024963,0.5955097675323486,0.15667311411992263,0.05170396824161927
64,32,110858,0.7931051215151413,0.30066857620477677,0.893,0.0023999999999999577,110080,0.7942583732057417,0.13512065000031726,0.15438849999554805,0.9682,1.1732257339240812,0.8378239274024963,0.7178936004638672,0.18762088974854935,0.04136063375580812
64,64,135434,0.7472388012347476,0.2972946999430656,0.8938,0.0015999999999999348,134656,0.7483253588516746,0.13512065000031726,0.15421199999764212,0.9714,0.8759979081324853,0.8378239274024963,0.836573600769043,0.24951644100580272,0.031521248056529894
64,128,184586,0.6555061606739602,0.2971463481903076,0.8964,-0.0010000000000000009,183808,0.6564593301435406,0.13512065000031726,0.15666300000702904,0.9734,0.8115365067389264,0.8378239274024963,0.9423246383666992,0.3733075435203095,0.031088603228645928
128,32,193802,0.6383062905688126,0.2913032537937164,0.8952,0.00019999999999997797,193024,0.6392344497607656,0.13512065000031726,0.15208950000669574,0.9786,0.8873956182857007,0.9270477294921875,0.7178936004638672,0.3965183752417795,0.014048126641578285
128,64,218378,0.5924399702884189,0.28816420581936836,0.8978,-0.0024000000000000687,217600,0.5933014354066986,0.13512065000031726,0.18174050000197894,0.9848,0.5156346334401345,0.9270477294921875,0.836573600769043,0.45841392649903284,0.004893581141891312
128,128,267530,0.5007073297276314,0.28724582418203354,0.8966,-0.0011999999999999789,266752,0.5014354066985646,0.13512065000031726,0.1509784999961994,0.99,0.338671066124818,0.9270477294921875,0.9423246383666992,0.5822050290135397,0.0022152638451304885
256,128,433418,0.19110966783497385,0.2864862212628126,0.8964,-0.0010000000000000009,432640,0.19138755980861244,0.13512065000031726,0.1471399999991263,0.9944,0.19816484492271738,0.979764461517334,0.9423246383666992,1.0,0.0
