fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2
16,16,36362,0.9321374048650848,0.6293812316656112,0.778,0.11739999999999995,35584,0.9334928229665072,0.13512065000031726,0.1552834999984043,0.7928,5.519894768416743,0.545870840549469,0.5955097675323486
16,32,48650,0.9092042447248879,0.6686058176040649,0.7664,0.129,47872,0.9105263157894736,0.13512065000031726,0.15207550000013725,0.7844,5.198691268321318,0.545870840549469,0.7178936004638672
16,64,73226,0.8633379244444942,0.6612779304504395,0.775,0.12039999999999995,72448,0.8645933014354067,0.13512065000031726,0.15027399999780755,0.7952,5.20911727673071,0.545870840549469,0.836573600769043
16,128,122378,0.7716052838837067,0.6492993628978729,0.7762,0.11919999999999997,121600,0.7727272727272727,0.13512065000031726,0.2013005000026169,0.7952,5.122863476630556,0.545870840549469,0.9423246383666992
16,256,220682,0.588140002762132,0.6536669898986817,0.7722,0.12319999999999998,219904,0.5889952153110047,0.13512065000031726,0.16736250000576547,0.7928,5.101417228980651,0.545870840549469,1.0
32,16,57098,0.8934376971285026,0.38018728828430176,0.8668,0.02859999999999996,56320,0.8947368421052632,0.13512065000031726,0.20516599999609753,0.9126,3.1872035520081856,0.7066775560379028,0.5955097675323486
32,32,69386,0.8705045369883058,0.37671510136127473,0.8646,0.03079999999999994,68608,0.8717703349282296,0.13512065000031726,0.15557149999949615,0.9176,2.657922329952579,0.7066775560379028,0.7178936004638672
32,64,93962,0.824638216707912,0.37809542174339295,0.8632,0.032200000000000006,93184,0.8258373205741627,0.13512065000031726,0.2024970000002213,0.9186,2.6752784723809886,0.7066775560379028,0.836573600769043
32,128,143114,0.7329055761471246,0.3739562659740448,0.8652,0.030200000000000005,142336,0.7339712918660287,0.13512065000031726,0.1532115000009071,0.9212,2.5971696292325253,0.7066775560379028,0.9423246383666992
32,256,241418,0.5494402950255497,0.37450639209747316,0.8646,0.03079999999999994,240640,0.5502392344497608,0.13512065000031726,0.14931300000171177,0.9216,2.5746855167678064,0.7066775560379028,1.0
64,16,98570,0.8160382816553382,0.3042152539908886,0.892,0.0033999999999999586,97792,0.8172248803827751,0.13512065000031726,0.16242499999862048,0.9556,1.807795458608638,0.8378239274024963,0.5955097675323486
64,32,110858,0.7931051215151413,0.30066857620477677,0.893,0.0023999999999999577,110080,0.7942583732057417,0.13512065000031726,0.15438849999554805,0.9682,1.1732257339240812,0.8378239274024963,0.7178936004638672
64,64,135434,0.7472388012347476,0.2972946999430656,0.8938,0.0015999999999999348,134656,0.7483253588516746,0.13512065000031726,0.15421199999764212,0.9714,0.8759979081324853,0.8378239274024963,0.836573600769043
64,128,184586,0.6555061606739602,0.2971463481903076,0.8964,-0.0010000000000000009,183808,0.6564593301435406,0.13512065000031726,0.15666300000702904,0.9734,0.8115365067389264,0.8378239274024963,0.9423246383666992
64,256,282890,0.4720408795523853,0.2974501405239105,0.8962,-0.0008000000000000229,282112,0.4727272727272728,0.13512065000031726,0.1541804999942542,0.9754,0.7943817227226934,0.8378239274024963,1.0
128,16,181514,0.6612394507090094,0.29968484414815905,0.8918,0.0035999999999999366,180736,0.6622009569377991,0.13512065000031726,0.19204950000130339,0.9608,1.6342742324486743,0.9270477294921875,0.5955097675323486
128,32,193802,0.6383062905688126,0.2913032537937164,0.8952,0.00019999999999997797,193024,0.6392344497607656,0.13512065000031726,0.15208950000669574,0.9786,0.8873956182857007,0.9270477294921875,0.7178936004638672
128,64,218378,0.5924399702884189,0.28816420581936836,0.8978,-0.0024000000000000687,217600,0.5933014354066986,0.13512065000031726,0.18174050000197894,0.9848,0.5156346334401345,0.9270477294921875,0.836573600769043
128,128,267530,0.5007073297276314,0.28724582418203354,0.8966,-0.0011999999999999789,266752,0.5014354066985646,0.13512065000031726,0.1509784999961994,0.99,0.338671066124818,0.9270477294921875,0.9423246383666992
128,256,365834,0.31724204860605654,0.2876468675166369,0.8966,-0.0011999999999999789,365056,0.3177033492822966,0.13512065000031726,0.18173899999965215,0.9916,0.285002373183559,0.9270477294921875,1.0
256,16,347402,0.3516417888163518,0.2983399831175804,0.8912,0.0041999999999999815,346624,0.3521531100478469,0.13512065000031726,0.18754799999442184,0.9638,1.6074811138271687,0.979764461517334,0.5955097675323486
256,32,359690,0.3287086286761549,0.2906467244029045,0.8954,0.0,358912,0.32918660287081336,0.13512065000031726,0.20948250000401458,0.9784,0.8393036480967399,0.979764461517334,0.7178936004638672
256,64,384266,0.2828423083957613,0.28749329418838027,0.8974,-0.0020000000000000018,383488,0.2832535885167464,0.13512065000031726,0.19454250000308093,0.987,0.43601611507451793,0.979764461517334,0.836573600769043
