fc1_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,parameters_normalize,validation_loss_normalize
16,72458,0.8281527931278193,0.3032595813035965,0.8942,0.031200000000000006,53504,0.8671328671328671,0.5084900499996365,0.6266347999999198,0.9258,1.6778742916773817,0.7853541374206543,0.0,1.0
20,85514,0.7971881359067645,0.25026881556510927,0.9142,0.011199999999999988,66560,0.8347107438016529,0.5084900499996365,0.6295039500000712,0.9568,1.347939995491384,0.8271963000297546,0.0625,0.3956898114501226
24,98570,0.7662234786857096,0.23341810054779052,0.9172,0.008199999999999985,79616,0.8022886204704387,0.5084900499996365,0.6415239999996629,0.9754,0.8553272342994668,0.856741726398468,0.125,0.20352314566593366
28,111626,0.7352588214646549,0.23113375840187073,0.9166,0.00880000000000003,92672,0.7698664971392244,0.5084900499996365,0.6343197500000315,0.9736,0.7233722609960349,0.8777291774749756,0.18749999999999994,0.17747235712428777
32,124682,0.7042941642436,0.22310298781394958,0.9212,0.0041999999999999815,105728,0.7374443738080101,0.5084900499996365,0.6325249999999869,0.9836,0.4899901969084752,0.8949989676475525,0.24999999999999994,0.08588891950918143
36,137738,0.6733295070225451,0.22064494717121125,0.9228,0.0026000000000000467,118784,0.705022250476796,0.5084900499996365,0.6077675999999883,0.986,0.36852364030264606,0.9091029167175293,0.31249999999999994,0.0578572618500508
42,157322,0.626882521190963,0.21910187726020813,0.925,0.00039999999999995595,138368,0.6563890654799746,0.5084900499996365,0.6648983000000044,0.9916,0.2870765361747113,0.9254880547523499,0.40624999999999994,0.040259990780864285
44,163850,0.6114001925804355,0.21780180521011352,0.9244,0.0010000000000000009,144896,0.6401780038143674,0.5084900499996365,0.6346354000002066,0.9918,0.24023934446079628,0.9301692247390747,0.43749999999999994,0.02543388334927288
64,229130,0.45657690647516136,0.21634666271209715,0.9252,0.00019999999999997797,210176,0.4780673871582962,0.5084900499996365,0.6287279500002114,0.9964,0.09600367278782214,0.9613432884216309,0.75,0.008839342298802233
80,281354,0.3327182775909421,0.21557155826091767,0.9254,0.0,262400,0.34837889383343934,0.5084900499996365,0.6250119500000437,0.9992,0.039952450564185414,0.9756750464439392,1.0,0.0
