fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2
16,16,36362,0.9321374048650848,1.323320014476776,0.6876,0.20779999999999998,35584,0.9334928229665072,0.12682375000076718,0.15163350000875653,0.714,7.1450733477362744,0.540036141872406,0.5849804282188416
16,32,48650,0.9092042447248879,1.4122499523162841,0.6868,0.2086,47872,0.9105263157894736,0.12682375000076718,0.2072614999997313,0.7224,6.893789806449557,0.540036141872406,0.707495927810669
16,64,73226,0.8633379244444942,1.5242195378303527,0.6664,0.22899999999999998,72448,0.8645933014354067,0.12682375000076718,0.20704900000055204,0.6996,6.747923744625545,0.540036141872406,0.8321748375892639
16,128,122378,0.7716052838837067,1.5400988341331483,0.6666,0.2288,121600,0.7727272727272727,0.12682375000076718,0.15091049999682582,0.6996,6.7026541971172,0.540036141872406,0.9412561655044556
16,256,220682,0.588140002762132,1.5659247860908507,0.6604,0.235,219904,0.5889952153110047,0.12682375000076718,0.17198149998876033,0.693,6.693802990569897,0.540036141872406,1.0
32,16,57098,0.8934376971285026,0.36364540555477143,0.8706,0.024799999999999933,56320,0.8947368421052632,0.12682375000076718,0.15715300000010757,0.914,3.7052574770441264,0.7019044756889343,0.5849804282188416
32,32,69386,0.8705045369883058,0.3630142609357834,0.8752,0.020199999999999996,68608,0.8717703349282296,0.12682375000076718,0.13328200000614743,0.9222,3.263713818738555,0.7019044756889343,0.707495927810669
32,64,93962,0.824638216707912,0.358103497004509,0.8748,0.02059999999999995,93184,0.8258373205741627,0.12682375000076718,0.1426250000076834,0.9226,3.075890289691547,0.7019044756889343,0.8321748375892639
32,128,143114,0.7329055761471246,0.3618994022846222,0.8746,0.02079999999999993,142336,0.7339712918660287,0.12682375000076718,0.15474299998459173,0.9256,2.996800050385776,0.7019044756889343,0.9412561655044556
32,256,241418,0.5494402950255497,0.36313920738697053,0.8734,0.02200000000000002,240640,0.5502392344497608,0.12682375000076718,0.13146299999789335,0.9254,3.001359532440049,0.7019044756889343,1.0
64,16,98570,0.8160382816553382,0.32769067058563234,0.8884,0.007000000000000006,97792,0.8172248803827751,0.12682375000076718,0.1395915000102832,0.955,2.0543988714220984,0.8348768949508667,0.5849804282188416
64,32,110858,0.7931051215151413,0.32836434738636017,0.887,0.008399999999999963,110080,0.7942583732057417,0.12682375000076718,0.16222549998929026,0.9636,1.4949669580795129,0.8348768949508667,0.707495927810669
64,64,135434,0.7472388012347476,0.32667835712432863,0.8904,0.0050000000000000044,134656,0.7483253588516746,0.12682375000076718,0.13783949998469325,0.9678,1.1378545933297117,0.8348768949508667,0.8321748375892639
64,128,184586,0.6555061606739602,0.32646696606874465,0.8894,0.006000000000000005,183808,0.6564593301435406,0.12682375000076718,0.13894350000555278,0.9688,1.0476137617514554,0.8348768949508667,0.9412561655044556
64,256,282890,0.4720408795523853,0.32844037652015684,0.8898,0.005599999999999938,282112,0.4727272727272728,0.12682375000076718,0.14057849999517202,0.9708,1.0216643979004338,0.8348768949508667,1.0
128,16,181514,0.6612394507090094,0.3135955415248871,0.8916,0.0038000000000000256,180736,0.6622009569377991,0.12682375000076718,0.12686199999734527,0.9648,1.7745896659977527,0.9262797832489014,0.5849804282188416
128,32,193802,0.6383062905688126,0.3134002758026123,0.8954,0.0,193024,0.6392344497607656,0.12682375000076718,0.15717499998572748,0.9772,1.1242459700437748,0.9262797832489014,0.707495927810669
128,64,218378,0.5924399702884189,0.31308640911579133,0.8978,-0.0024000000000000687,217600,0.5933014354066986,0.12682375000076718,0.13166349999664817,0.9838,0.5917090667182104,0.9262797832489014,0.8321748375892639
128,128,267530,0.5007073297276314,0.3131014945030212,0.8978,-0.0024000000000000687,266752,0.5014354066985646,0.12682375000076718,0.12679200001002755,0.9896,0.4017546068033035,0.9262797832489014,0.9412561655044556
128,256,365834,0.31724204860605654,0.31540299453735354,0.896,-0.0006000000000000449,365056,0.3177033492822966,0.12682375000076718,0.15417499998875428,0.991,0.33569954749978265,0.9262797832489014,1.0
256,16,347402,0.3516417888163518,0.31330368781089785,0.8916,0.0038000000000000256,346624,0.3521531100478469,0.12682375000076718,0.12491049999880488,0.9656,1.755050882846248,0.9801843762397766,0.5849804282188416
256,32,359690,0.3287086286761549,0.31313023195266726,0.8952,0.00019999999999997797,358912,0.32918660287081336,0.12682375000076718,0.19041749999814783,0.9792,1.0759993498279068,0.9801843762397766,0.707495927810669
256,64,384266,0.2828423083957613,0.3123804009079933,0.8974,-0.0020000000000000018,383488,0.2832535885167464,0.12682375000076718,0.16538100000616396,0.9854,0.4991122694906952,0.9801843762397766,0.8321748375892639
256,128,433418,0.19110966783497385,0.312597728908062,0.897,-0.0016000000000000458,432640,0.19138755980861244,0.12682375000076718,0.19819699999061413,0.9936,0.2333589781894126,0.9801843762397766,0.9412561655044556
256,256,531722,0.007644386713398954,0.3148756546497345,0.895,0.00039999999999995595,530944,0.007655502392344471,0.12682375000076718,0.248296499994467,0.9974,0.0972367003087875,0.9801843762397766,1.0
512,16,679178,-0.2675535349689633,0.3137661548614502,0.8918,0.0035999999999999366,678400,-0.2679425837320575,0.12682375000076718,0.13078050000331132,0.9654,1.7574100379546904,1.0,0.5849804282188416
