epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.84964,0.4186173532295227,0.42841205215454103,0.8436
2,0.87994,0.3367594863700867,0.34614562554359435,0.8728
3,0.89324,0.2979435840654373,0.3118853747844696,0.8818
4,0.90096,0.27445950103759764,0.28483064155578613,0.8924
5,0.91546,0.23653193567276,0.26207212257385254,0.9028
6,0.919,0.22632078459739685,0.2537139636516571,0.9046
7,0.9214,0.2163121521472931,0.24713079023361206,0.9106
8,0.93026,0.19312807359695436,0.23869824361801148,0.9094
9,0.93386,0.18345779619693756,0.23153165683746338,0.9124
10,0.93854,0.17153400115966796,0.236341849732399,0.9134
11,0.9411,0.16116448687314988,0.23283645694255828,0.9118
12,0.94146,0.1586735646343231,0.23139752900600433,0.9094
13,0.94564,0.14718515751361846,0.22970579030513763,0.9158
14,0.95232,0.12953040947914124,0.22444349970817565,0.9226
15,0.95998,0.11965347120523452,0.21179864053726197,0.9234
16,0.95958,0.11526311267733574,0.22554605236053465,0.9222
17,0.96202,0.10667183318197727,0.22930995469093324,0.924
18,0.96788,0.09264141416549683,0.23526365065574645,0.9236
