rank_out,rank_in,parameters,conv2 parameters,parameters_reduction,validation_acc,validation_loss,accuracy_drop,conv2_macs_reduction,all_macs_reduction,weight_relative_error
64,32,133962,23552,-0.039738594557675366,0.735,0.7601485242843627,-0.0005999999999999339,-0.2777777777777777,-0.1265509911513174,1.3431535080599133e-05
64,24,129098,18688,-0.001986929727883835,0.7342,0.7633208928108215,0.000200000000000089,-0.01388888888888884,-0.00632754955756587,0.20719748735427856
64,16,124234,13824,0.03576473510190781,0.7006,0.8697335964202881,0.03380000000000005,0.25,0.11389589203618566,0.3614431321620941
64,8,119370,8960,0.07351639993169934,0.4398,1.9421653329849242,0.29460000000000003,0.5138888888888888,0.2341193336299372,0.5772914886474609
48,32,128330,17920,0.003973859455767559,0.7246,0.7832753242492676,0.009800000000000031,0.02777777777777779,0.01265509911513174,0.19219069182872772
48,24,124618,14208,0.032784340510082166,0.7264,0.7826546674728394,0.008000000000000007,0.22916666666666663,0.10440456769983686,0.2676521837711334
48,16,120906,10496,0.06159482156439666,0.7,0.8544040707588196,0.0344000000000001,0.4305555555555556,0.19615403628454198,0.3873174488544464
48,8,117194,6784,0.09040530261871127,0.4322,1.978443653488159,0.3022000000000001,0.6319444444444444,0.2879035048692471,0.585417628288269
32,32,122698,12288,0.04768631346921037,0.6532,0.9810002605438233,0.08120000000000005,0.33333333333333337,0.15186118938158089,0.3448386788368225
32,24,120138,9728,0.06755561074804795,0.6532,0.9774744749069214,0.08120000000000005,0.4722222222222222,0.2151366849572396,0.37786802649497986
32,16,117578,7168,0.08742490802688563,0.628,1.0578302778244018,0.10640000000000005,0.6111111111111112,0.2784121805328983,0.4490424394607544
32,8,115018,4608,0.10729420530572331,0.42,1.9902114978790284,0.31440000000000007,0.75,0.341687676108557,0.6099563837051392
16,32,117066,6656,0.09139876748265319,0.5062,1.357619262123108,0.22820000000000007,0.6388888888888888,0.29106727964803003,0.5547052621841431
16,24,115658,5248,0.10232688098601384,0.5162,1.3344864065170288,0.21820000000000006,0.7152777777777778,0.3258688022146423,0.5654924511909485
16,16,114250,3840,0.1132549944893746,0.5108,1.3457034126281737,0.22360000000000002,0.7916666666666666,0.3606703247812546,0.5909192562103271
16,8,112842,2432,0.12418310799273524,0.3816,1.9275303424835204,0.35280000000000006,0.8680555555555556,0.3954718473478669,0.6784935593605042
8,32,114250,3840,0.1132549944893746,0.391,1.7244895748138427,0.34340000000000004,0.7916666666666666,0.3606703247812546,0.7157267928123474
8,24,113418,3008,0.11971251610499678,0.3946,1.7093527168273925,0.33980000000000005,0.8368055555555556,0.3812348608433437,0.7199284434318542
8,16,112586,2176,0.12617003772061908,0.3978,1.7045919790267945,0.33660000000000007,0.8819444444444444,0.40179939690543276,0.729536771774292
8,8,111754,1344,0.13262755933624126,0.3598,1.8835132013320923,0.37460000000000004,0.9270833333333334,0.42236393296752184,0.7586597204208374
