epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.696125,0.8672215155601501,0.8517557258605957,0.704
2,0.71965,0.8007503734588624,0.8213287050247192,0.7128
3,0.725325,0.7901410352706909,0.8118989750862121,0.7174
4,0.730325,0.7728235983848571,0.8163228061676026,0.7156
5,0.73465,0.7617286321640014,0.8133732417106628,0.7202
6,0.73675,0.7573452030181885,0.7879582882881164,0.7288
7,0.734475,0.7532709501266479,0.8004111996650696,0.7264
8,0.7407,0.7415560778617859,0.7826389227867127,0.7262
9,0.7404,0.743927190208435,0.7730262810707093,0.7334
10,0.743975,0.7341869414329529,0.7717152525901795,0.7286
11,0.74625,0.7287149890899658,0.773220108127594,0.734
12,0.74535,0.7241444913864136,0.7814597568511963,0.7302
13,0.7475,0.7224335000038147,0.7588824033737183,0.7396
14,0.750825,0.7159123226165771,0.7562703254699708,0.7378
15,0.750825,0.7102968128204346,0.7674975220680237,0.7336
16,0.75235,0.7131745573043823,0.745616983795166,0.746
17,0.75305,0.7068548570632934,0.7457797005653382,0.7428
18,0.753075,0.7053739379882813,0.7675880877494812,0.7332
19,0.75535,0.7001187925338745,0.7464929314613342,0.7414
