epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.73715,0.748271343421936,0.7764883608818054,0.733
2,0.745175,0.7291681154251098,0.766858911895752,0.7356
3,0.748025,0.7272741771697998,0.7645047337532044,0.7356
4,0.748875,0.7164888725280761,0.7655830986976624,0.733
5,0.753225,0.7088550224304199,0.7655461294174194,0.7338
6,0.752725,0.7064087013244629,0.7509312617301941,0.7406
7,0.751225,0.7018906272888183,0.7565886087417603,0.7394
8,0.75605,0.6926009230613709,0.7532740846633911,0.7414
9,0.756925,0.6956065895080566,0.7338023524284363,0.7466
10,0.7583,0.6897036149978638,0.7305617340087891,0.7496
11,0.761825,0.6833902530670166,0.7395483656883239,0.745
12,0.7612,0.677598380279541,0.7428535862922668,0.7422
13,0.763275,0.677781965637207,0.7264412135124206,0.7458
14,0.766425,0.6738664868354798,0.7276833765983581,0.7486
15,0.766725,0.664912629032135,0.738336086845398,0.7484
16,0.767375,0.6689971399307251,0.7183421588897705,0.748
17,0.7675,0.6652220489501953,0.7165365624427795,0.752
18,0.76645,0.6626268194198608,0.7413757997512818,0.7432
19,0.7715,0.6583920579910278,0.7143650540351868,0.7508
20,0.7714,0.6568655879974366,0.7168136160850525,0.7494
21,0.769575,0.6566289553642273,0.7162227184295654,0.7524
22,0.77415,0.6485383905410766,0.7230168885231018,0.7496
