method,seed,epoch,train_acc,train_loss,validation_loss,validation_acc
hosvd,0,1,0.7529,0.6973547647476196,0.7809317100524902,0.7284
hosvd,0,2,0.758575,0.6866154250144958,0.767462770652771,0.7354
hosvd,0,3,0.755875,0.6821928197860718,0.7745857518196106,0.7328
hosvd,0,4,0.76485,0.670991695690155,0.7597512356758118,0.7342
hosvd,0,5,0.764825,0.6698615518569946,0.7601000647544861,0.7398
hosvd,0,6,0.7653,0.6609679628372193,0.7508928390502929,0.7376
hosvd,0,7,0.769525,0.6603386526107788,0.7546571193695069,0.7408
hosvd,0,8,0.764175,0.6668429243087769,0.7566793790817261,0.7396
hosvd,0,9,0.769525,0.652765113067627,0.7433785252571106,0.7432
hosvd,0,10,0.774175,0.6404079859733581,0.7391658471107483,0.7486
hosvd,0,11,0.772475,0.6440572346687317,0.7407869006156922,0.7454
hosvd,0,12,0.772925,0.6421936891078949,0.7406096986770629,0.7446
hosvd,0,13,0.777775,0.6319664987564086,0.7249495037078857,0.746
hosvd,0,14,0.774925,0.6330728914260865,0.7292706367492676,0.7524
hosvd,0,15,0.7754,0.630673910331726,0.7409248253822327,0.75
hosvd,0,16,0.781575,0.6222312191963196,0.7240657835960388,0.752
hosvd,0,17,0.781175,0.6238418988227844,0.7178303350448608,0.7532
hosvd,0,18,0.77575,0.6301257345676422,0.7376485260009765,0.7448
hosvd,0,19,0.783675,0.6147451893806457,0.7210331362724304,0.7492
hosvd,0,20,0.7842,0.6097857101440429,0.7254379427909851,0.75
hooi,0,1,0.7529,0.6980859456062317,0.7838711045265198,0.7288
hooi,0,2,0.758625,0.6852449503898621,0.7672596957206727,0.734
hooi,0,3,0.7572,0.6792198770523071,0.771688113117218,0.7318
hooi,0,4,0.76385,0.6711924748420716,0.7604505311965942,0.733
hooi,0,5,0.7668,0.6674137262344361,0.7570985098838806,0.7412
hooi,0,6,0.765825,0.6600532716751099,0.7500312663078308,0.7388
hooi,0,7,0.76885,0.6598046535491944,0.7541612340927124,0.7402
hooi,0,8,0.764775,0.6652350315093994,0.7544214635848999,0.7404
hooi,0,9,0.7683,0.6536639335632324,0.7449058493614197,0.7418
hooi,0,10,0.77525,0.6379801160812378,0.7357738501548767,0.7462
hooi,0,11,0.77375,0.6438454795837403,0.7413245875358582,0.7452
hooi,0,12,0.77395,0.6403429389476776,0.7360828901290893,0.7466
hooi,0,13,0.778475,0.6313747674942016,0.7230723726272583,0.746
hooi,0,14,0.775175,0.6318768816947937,0.7304652744293213,0.7502
hooi,0,15,0.775125,0.6296903227806091,0.7402409564971923,0.7478
hooi,0,16,0.78325,0.6191076498985291,0.719416365814209,0.7538
hooi,0,17,0.780675,0.6235215240478515,0.7143870875358581,0.7556
hooi,0,18,0.777275,0.6277611036300659,0.7343232018470764,0.7468
hooi,0,19,0.784525,0.6124893905639649,0.716291049194336,0.7528
hooi,0,20,0.785825,0.6081732754707336,0.723318023777008,0.7512
