conv1_rank,conv2_rank,conv3_rank,conv1_role,conv2_role,conv3_role,is_all_knee,parameters,parameters_reduction,baseline_macs,compressed_macs,compute_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv1,retained_energy_conv2,retained_energy_conv3
9,32,64,conservative,conservative,conservative,False,92669,0.28075472283882585,10357248,6346240,0.38726580651539866,1.5828473194122314,0.5048,0.22960000000000003,0.5551737000005232,0.5385965000004944,0.5786,2.1401631071018863,0.7662929892539978,0.8810855746269226,0.9322720170021057
9,32,48,conservative,conservative,knee,False,81405,0.3681796308657115,10357248,5625344,0.45686885164862323,1.7082019412994385,0.4792,0.25520000000000004,0.5551737000005232,0.5306149999978516,0.5472,2.313134883287451,0.7662929892539978,0.8810855746269226,0.8807648420333862
6,32,64,knee,conservative,conservative,False,92492,0.2821284984709955,10357248,6164992,0.4047654357605418,1.77007489566803,0.4586,0.27580000000000005,0.5551737000005232,0.5337719999988622,0.522,2.500462605636705,0.6009767651557922,0.8810855746269226,0.9322720170021057
9,24,64,conservative,knee,conservative,False,89853,0.30261094984554726,10357248,5625344,0.45686885164862323,1.8636752557754517,0.4434,0.29100000000000004,0.5551737000005232,0.5318930000066757,0.5048,2.589711732117834,0.7662929892539978,0.808947741985321,0.9322720170021057
9,32,32,conservative,conservative,aggressive,False,70141,0.4556045388925971,10357248,4904448,0.5264718967818478,1.8907870203018189,0.4354,0.29900000000000004,0.5551737000005232,0.5385674999979528,0.4884,2.512333304482608,0.7662929892539978,0.8810855746269226,0.7885524034500122
6,32,48,knee,conservative,knee,False,81228,0.36955340649788115,10357248,5444096,0.4743684808937664,1.9248559387207032,0.4226,0.3118000000000001,0.5551737000005232,0.5225259999951959,0.4842,2.6693810839019876,0.6009767651557922,0.8810855746269226,0.8807648420333862
9,24,48,conservative,knee,knee,False,78589,0.3900358578724329,10357248,4904448,0.5264718967818478,1.963647967147827,0.4208,0.31360000000000005,0.5551737000005232,0.5279645000064193,0.4774,2.678599133934098,0.7662929892539978,0.808947741985321,0.8807648420333862
6,24,64,knee,knee,conservative,False,89676,0.30398472547771693,10357248,5444096,0.4743684808937664,2.022196760559082,0.3976,0.33680000000000004,0.5551737000005232,0.5306764999932057,0.4488,2.867202649823735,0.6009767651557922,0.808947741985321,0.9322720170021057
9,16,64,conservative,aggressive,conservative,False,87037,0.32446717685226867,10357248,4904448,0.5264718967818478,2.0494939764022826,0.3778,0.35660000000000003,0.5551737000005232,0.525877500003844,0.4292,2.9530207289792685,0.7662929892539978,0.6923009753227234,0.9322720170021057
6,32,32,knee,conservative,aggressive,False,69964,0.4569783145247668,10357248,4723200,0.543971526026991,2.074852709388733,0.3994,0.3350000000000001,0.5551737000005232,0.5166955000004236,0.4446,2.8094612194778557,0.6009767651557922,0.8810855746269226,0.7885524034500122
9,24,32,conservative,knee,aggressive,False,67325,0.4774607658993185,10357248,4183552,0.5960749419150724,2.090031996154785,0.3834,0.35100000000000003,0.5551737000005232,0.5176320000009582,0.4344,2.772798091786075,0.7662929892539978,0.808947741985321,0.7885524034500122
